,text,class
0,"🙎‍♀ полина петрова — магистрант программы «экономика предпринимательской деятельности». она работает под руководством татьяны батовой над научными задачами в области экономики, инноваций и интеллектуальной собственности. полина уже два раза побеждала в конкурсе грантов комитета по науке и высшей школе. в этом году комитет отметил работу, посвященную подходам и методам планирования проведения работ в фундаментальных и прикладных исследованиях. 
 
✅ проведение научных исследований и опытно-конструкторских работ является основой реализации технического и экономического прогресса, за счет чего повышается многоплановый фактор конкурентоспособности и производительности университетов и предприятий. быстрый обмен идеями и методами между всеми научно-техническими направлениями приводит к тому, что результаты исследований непосредственно воздействуют на человеческую жизнь и развитие технологий. в условиях быстрого развития механизмов и аппаратов решающее значение приобретает автоматизация процессов на всех этапах — от идеи до конечного продукта. 
 
✅ в последнее время все больше ученых уделяют время разработке систем планирования научно-технического прогресса, научно-исследовательских и опытно-конструкторских работ, совершенствованию стадий планирования или методов стимулирования. в связи с тем, что окружающие человека процессы быстро меняются, недостаточное внимание уделяется комплексному планированию, определяющему эффективность исследований. полина изучила различные подходы и методы проведения работ в фундаментальных исследованиях. целью проекта являлась разработка методических рекомендаций по улучшению и нормированию проведения ниокр, а также их практическое применение.",0
1,"💡summer bridge scholarship в российско-французской лаборатории университета итмо: присоединись к междисциплинарному проекту и опубликуй свою первую научную статью
📝подробности читайте по ссылке: http://news.ifmo.ru/ru/education/official/news/8467/",0
2,"аспирант факультета фотоники и оптоинформатики университета итмо антон зайцев стал стипендиатом ieee microwave theory and techniques society 2018 (одним из шести со всего мира, между прочим)!

узнали у антона, как терагерцовое излучение может стать альтернативой рентгену и что нужно учитывать при подаче заявки на международный грант: https://vk.cc/9ogy5v",0
3,"🧔 михаил каканов — магистрант программы «управление мобильными киберфизическими системами», и он уже два раза выигрывал конкурс грантов комитета по науке и высшей школе три. сфера научных интересов михаила связана с системами с ограничениями, робастным управлением, адаптивным управлением и кибер-физическими системами. 
 
🏆 в этом году михаил победил в конкурсе с работой, которая посвящена разработке робастного алгоритма управления с антивиндап-коррекцией многозвенного манипуляционного робота. целью проекта была разработка робастного алгоритма управления вращательными сочленениями манипуляционного робота при наличии параметрических и сигнальных неопределенностей, а также аппаратных ограничений на входные воздействия. михаил рассматривал манипуляционный робот kuka youbot с пятью вращательными сочленениями. 
 
👉🏻 на данный момент михаил работает над робастным управлением ограниченными по входу динамическими системами с неопределенностями.",0
4,"поехали в японию? 🇯🇵 

до 26 мая подай заявку на участие в японо-российской программе молодежных обменов! 

подробности по ссылке:",0
5,"«школа инженера»: скоро стартуем! 🚀

17 февраля мы проведем первое занятие нового курса. успевай оставить заявку на нашем сайте: https://digdes.ru/it-university/courses/shkola-inzhenera.

📍познакомимся на теории и практике с .net, c#, asp.net mvc, react, ms sql server, docsvision, nlb.

📍обучение бесплатное в вечернее время в нашем офисе на наб. р. смоленки, 33 (ст. м. «приморская»).

📍 лучших студентов приглашаем на стажировку с последующим трудоустройством.",1
6,"introduction days уже начались, а подарки и сюрпризы продолжаются! 💥

эндаумент-фонд университета итмо решил подарить тебе настоящий итмощный велосипед! всё просто:

• выкладывай в соцсети фото и видео с introduction days;
• не забудь добавить хэштеги #funditmofamily, #itmo;
• 8 сентября мы случайным образом выберем главного счастливчика и подарим ему железного коня. как раз подойдет для велопрогулки с ректором! 🚲

но это еще не все: 15 (!) другим счастливчикам мы подарим крутые брендированные подарочки с любовью от эндаумент-фонда университета итмо. 

эндаумент-фонд университета итмо помогает и поддерживает творческие и научные инициативы. например, для студентов вуза фонд предлагает именные студенческие стипендии, гранты на научные исследования, награды за достижения и многое-многое другое. подробнее о фонде можно узнать на сайте https://fund.itmo.family/",0
7,"принимай вызов — вступай в игру! 
сколько можно ждать тайного знака, наблюдать за успехами других, когда самый важный герой в твоей жизни — именно ты? 😎
 
marketorium заявляет — пора на новый уровень маркетинга! 🏆
 
эта весна будет особенной! 🔥
тебя ждет: прокачка маркетинговых скиллов на максимум, лекции и воркшопы от профессионалов-практиков 90ого левела, + 10 000 к маркетинговому опыту, работа с компаниями уровня вконтакте, яндекс, мегафон, mars, redmond, шанс попасть на стажировку в лучшие маркетинговые агентства, а еще самый невероятный накал эмоций от останавливающего дыхание ожидания и волнения до безумной радости, восторга и драйва! 🎉
 
весенний сезон 2019 посвящен теме «эмоциональный маркетинг» — а значит, тебе есть, где развернуться! 😍
 
💥 чувствуешь в себе силы дойти до финала игры на максимальном уровне сложности? готов вместе со своей командой взяться за проект реального заказчика и предложить крутое решение? для тебя — biggame, международный конкурс по маркетингу goo.gl/szuney 
 
💥 не успокаиваешься на достигнутом, всегда и везде ищешь новое? 
для тебя — весенняя школа marketorium, мастер-классы и воркшопы по маркетингу, брендингу, digital-коммуникациям goo.gl/e8wr4h 
 
💥 тебе есть что сказать миру маркетинга, ты готов делиться идеями, слушать и обсуждать? для тебя дискуссионные площадки marketorium forum и marketorium slam goo.gl/daospv 
 
что? 
самый крутой проект по маркетингу: состязания, новые знания, обмен идеями и вдохновением. 
 
где? 
дистанционно — везде, где есть талантливые молодые маркетологи. 
очно — в санкт-петербурге. 
 
когда? 
регистрация до 18 февраля 
формирование команд до 6 марта 
заочный этап 11 марта — 11 апреля 
очный этап 12-29 апреля 
 
для кого? 
для студентов, молодых специалистов, фрилансеров из разных городов и стран. специализация: маркетинг, реклама и pr, дизайн, it, журналистика, экономика и менеджмент. если ты увлечен маркетингом или хочешь узнать о нем больше на практике — добро пожаловать в игру! 
 
marketorium ждет именно тебя — открой новые возможности! 
 
#marketorium #marketorium_game #marketorium_school #marketorium_forum",0
8,"study abroad fair 2019 уже послезавтра! 
 
student fair — это возможность познакомиться с вузами-партнерами университета итмо и узнать лайфхаки об особенностях обучения и проживания за границей. дополнительный бонус: возможность найти единомышленников и отправиться компанией на семестр по обмену. 
 
вход свободный по предварительной регистрации: https://vk.cc/9nrrw8 
 
когда: 20 сентября в 16:30! 
где: университет итмо, ул. ломоносова 9, холл второго этажа",0
9,"#итмостажировка в torrow technologies ✨ 
 
программа включает обучение и стажировку по направлениям: 

📎разработчик программного обеспечения (frontend и backend) 
📎аналитик программного обеспечения 
📎инженер автоматизации тестирования 
📎devops инженер 
 
старт обучения - 5 марта. 
презентация курса состоится 26 и 27 февраля в 18.00 в офисе компании. 
 
📌программа стажировки https://vk.cc/92anol 

📄резюме направлять на почту hr@torrowtech.com",1
