text,keywords
"«школа инженера»: скоро стартуем! 🚀

17 февраля мы проведем первое занятие нового курса. успевай оставить заявку на нашем сайте: https://digdes.ru/it-university/courses/shkola-inzhenera.

📍познакомимся на теории и практике с .net, c#, asp.net mvc, react, ms sql server, docsvision, nlb.

📍обучение бесплатное в вечернее время в нашем офисе на наб. р. смоленки, 33 (ст. м. «приморская»).

📍 лучших студентов приглашаем на стажировку с последующим трудоустройством.","['c', 'инженер']"
"#итмостажировка в torrow technologies ✨ 
 
программа включает обучение и стажировку по направлениям: 

📎разработчик программного обеспечения (frontend и backend) 
📎аналитик программного обеспечения 
📎инженер автоматизации тестирования 
📎devops инженер 
 
старт обучения - 5 марта. 
презентация курса состоится 26 и 27 февраля в 18.00 в офисе компании. 
 
📌программа стажировки https://vk.cc/92anol 

📄резюме направлять на почту hr@torrowtech.com","['c', 'frontend', 'backend', 'аналитик', 'тестирование', 'разработчик', 'инженер']"
"#итмостажировка

школа мобильного маркетинга advert school открывает ещё один набор на стажировки с возможностью последующего трудоустройства. 
если вы заинтересованы в сфере мобайла, то эта программа для вас 👇🏻

- бесплатное обучение настройке рекламных кампаний на практике 
- опыт работы с крупнейшими источниками мобильного трафика – facebook и instagram 
- работа с реальными бюджетами и реальными проектами 
- возможность получить крутую работу по окончанию стажировки 
 
старт программы: 25 февраля
локация: м.чернышевская 
продолжительность: 1 месяц 
занятость: 5/2 с 11.00 до 18.00 
стоимость: бесплатно 
 итог стажировки: официальное трудоустройство, достойный доход, участие в проведении масштабных рекламных кампаний, работа в команде high-level профессионалов, успех и признание.

заполняй заявку по ссылке и пройди предварительный отбор: https://vk.cc/92b5nm",['c']
"открыт набор на конкурс study abroad at home в университете итмо и это отличная возможность для учебы вместе с иностранными студентами по обмену! 

держи 5 причин, почему нужно принять участие в конкурсе: 
1. преподавание — на английском языке, в том числе, носителями языка; 
2. учеба в международной группе вместе со студентами из франции, германии, южной кореи, тайваня, финляндии, мексики, чехии и других стран; 
3.модульная система обучения; 
4.возможность выбрать любые три предмета; 
5. сертификат по окончании программы. 

к участию приглашаются все студенты университета итмо. успей до 15 сентября! 

как подать заявку и другие подробности о программе — на нашем сайте: https://vk.cc/9kqpxn",['английский']
"#итмостажировка в скб-контур и яндексе💥

в компанию скб-контур на стажировку можно попасть по тестовому заданию: 
- backend c#;
- backend java; 
- backend с++; 
- frontend; 
- ux-исследователь; 
- data science; 
- мобильная разработка.
а также пройти отбор по результатам курсов в департамент аналитики и тестирования. 
по ссылке https://vk.cc/8rxbiu вы сможете записаться на курсы и подать заявку на 2-х месячную стажировку! 
также, если вы ещё в поиске места прохождения производственной или преддипломной практики, то смело подавайте заявку https://vk.cc/9dksjw.

а лето вы можете провести так же с огромной пользой. успейте до 31 мая подать заявку на summer internship в яндекс https://vk.cc/4no6t6.
участвуют специалисты c++, python, java, javascript, android, c#, ios, swift, perl, php и все джуниоры в указанных языках.
отбор состоит из 5 этапов, стажировка длится 3 месяца, работа стажера оплачивается.

не упускаем шанс! а также не забываем про мероприятия нашего проекта career weeks —-> https://vk.cc/9dzmm9","['java', 'c', 'python', 'javascript', 'frontend', 'backend', 'data science', 'аналитик', 'тестирование', 'разработка']"
"хочешь совершить что-то полезное для этого мира? тогда тебе в компанию инкарт. сюда может попасть каждый студент, начиная со второго курса!

работа предполагает выполнение определенного проекта, в рамках которого вы сможете освоить необходимые навыки для карьерного роста.

на данный момент в компании открыты вакансии:

junior developer / младший программист c++ - https://vk.cc/9grc40

разработчик с++ - https://vk.cc/9grcn7

разработчик .net - https://vk.cc/9grcde

research developer - https://vk.cc/9grdaj

embedded linux developer - https://vk.cc/9grdpb

еще больше вакансий и стажировок по тегам #итмовакансия и #итмостажировка","['c', 'linux', 'разработчик']"
"#итмостажировка в сфере мобильной рекламы в advert school (https://advert.school/). стажировка неоплачиваемая. 
 
старт программы 22.04.2019.
 
тебя ждет две недели полного погружения в профессию:

- настройка мобильной рекламы в facebook;
- поддержка наставника на всех этапах;
- работа с реальными бюджетами в рамках крупных рекламных кампаний;
- возможность устроиться на крутую должность без опыта работы. 
 
предварительные требования: аналитические способности, знание exсel, adobe photoshop или других графических редакторов. 
 
после стажировки возможность трудоустройства с условиями: официальное оформление в штат агентства, достойный уровень дохода (оклад + бонусы), возможность карьерного и личностного роста в команде high-level профессионалов. 
 
✉чтобы записаться, отправляйте cv на kira@adhack.io",['c']
"💥[club97561908|фонд «будущие лидеры»] открывает новый набор в образовательную программу! 

если ты студент 1-3 курса бакалавриата или специалитета, у тебя есть собственный проект и ты хочешь прокачать лидерские качества – жми на ссылку и оставляй заявку 👉🏻 https://vk.com/fbl.russia?w=app5708398_-97561908

присоединяйся к сообществу талантливой и активной молодежи петербурга! 

тебя ждет: 
⭐знакомство и общение с опытными наставниками; 

⭐поддержка в реализации собственных проектов и инициатив; 

⭐тренинги, мастер-классы и лекции от ведущих экспертов различных сфер; 

⭐стажировки в крупных российских и зарубежных компаниях; 

⭐эффективный нетворкинг; 

участие в программе фонда бесплатное! 

подать заявку и прочитать подробности можно на сайте: http://russianleaders.org/profile/konkursnie-otbori

#итальянская16 #фондбудущиелидеры #отборфбл",['c']
"baker hughes – ведущая нефтесервисная компания с вековой репутацией запускает программу lead. не стажировка, штатная позиция. и значит, что вы будете полноценным сотрудником baker hughes, имея соответствующую заработную плату и возможность использовать все ресурсы компании для собственного развития в нефтегазовой отрасли. 
 
при успешном завершении программы сотрудники получают возможность претендовать на руководящую должность в одном из многочисленных подразделений компании.

потенциальный успешный кандидат:

- выпускник технического вуза; 
- окончил вуз в период с 2018 по 2019 год; 
- владеет английским языком на уровне upper-intermediate; 
- мобильный и готовый к частым командировкам; 
- амбициозный и готовый обучаться для головокружительного роста в компании.

оставить заявку и ознакомиться с этапами отбора можно по ссылке https://fut.ru/4s.

#итмовакансия #итмостажировка",['английский']
"#итмостажировка в ts solution.

требования: 
- студенты последних курсов университета (3-4 бакалавриата, 2-й магистратуры), а также недавние выпускники 
- понимание принципов построения и работы компьютерных сетей и её отдельных частей. опыт в системном или сетевом администрировании будет являться преимуществом. 
- знание английского языка: чтение профессиональной литературы 
- готовность к трудоустройству на полную занятость 
 
условия: 
- продолжительность - 1 месяц 
- работа в уютном офисе, 2-3 дня в неделю 
- обучение работе с решениями от check point, cisco, fortinet и пр. 
- работа под наставничеством инженеров с международными сертификатами в области иб 
- решение лабораторных работ и кейсов, общение с реальными заказчиками 
- получение востребованных навыков в сфере ит/иб 
- сертификат об успешном прохождении стажировки 
- при необходимости, возможно подготовить документы о прохождении производственной практики 
 
при успешном прохождении стажировки вас ждет трудоустройство с графиком работы 5/2, 10:00-18:00 (пт - 10:00-17:00).
плюс ко всему, вы сможете перезачесть стажировку в качестве практики.

📣подробности/регистрация на стажировку https://vk.cc/9yu3jn","['c', 'английский', 'инженер']"
"#итмостажировка

пройди стажировку в компании юлмарт по направлениям: 
 
- маркетинг 
- закупка 
- информационные технологии 

и получи возможность трудоустройства в один из крупнейших онлайн-ретейлеров страны. 

продолжительность стажировки от 1,5 месяца. 
программа позволит получить практические знания и позитивный опыт достижения амбициозных бизнес-целей, обучиться профессии, развить soft и hard skills. 

требования к потенциальным стажероам:

- высшее/неоконченное высшее образование 
- высокая степень самодисциплины и ответственности 
- высокие аналитические способности 
- внимание к деталям 
- нацеленность на результат 
 
резюме на стажировку необходимо присылать на почту student@ulmart.ru. 
 
телефон для связи: +7 (812) 336-37-77. ю are welcome!",['c']
"позиции стажера в компанию kraft & heinz, которые можно перезачесть в качестве практики ❗❗❗

на позиции рассматриваются студенты последних курсов, без опыта работы или выпускники, имеющие профильное образование.
знание английского языка не ниже intermediate!

📍стажер в отдел закупок — https://vk.cc/9gg9to.
📍стажер в отдел производственных финансов — https://vk.cc/9ggalc.
📍лаборант микробиологического анализа — https://vk.cc/9ggb2o.

для подачи заявки на позицию, перейдите по ссылке, отправьте резюме hr, указанному в контактах компании.
для перезачета практики результатами стажировки, обратитесь за консультацией в [club78459300|центр карьеры] 

#итмостажировка #итмовакансия","['c', 'английский']"
